sex,race,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,r_charge_desc,r_charge_degree
Male,African-American,F,Tampering With Physical Evidence,10,High,1,False Imprisonment,(F3)
Male,Caucasian,F,Felony Battery w/Prior Convict,9,High,1,Grand Theft (Motor Vehicle),(F3)
Male,African-American,F,Att Tamper w/Physical Evidence,8,High,1,Resist/Obstruct W/O Violence,(M1)
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Male,Other,F,Agg Fleeing and Eluding,3,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,M,Operating W/O Valid License,8,High,0,,
Female,Caucasian,M,Battery,5,Medium,1,Grand Theft in the 3rd Degree,(F3)
Male,Caucasian,M,Battery,2,Low,1,Possession of Cannabis,(F3)
Male,African-American,F,Poss Wep Conv Felon,9,High,1,Unlaw Use False Name/Identity,(M1)
Male,Caucasian,M,Possess Cannabis/20 Grams Or Less,2,Low,0,,
Female,African-American,F,arrest case no charge,8,High,0,,
Male,African-American,M,Unlaw Use False Name/Identity,1,Low,0,,
Male,Caucasian,M,Viol Injunct Domestic Violence,2,Low,1,Viol Pretrial Release Dom Viol,(M1)
Female,African-American,F,Possession of Cocaine,2,Low,0,,
Male,African-American,F,Defrauding Innkeeper $300/More,7,Medium,1,Viol Injunct Domestic Violence,(M1)
Male,Caucasian,M,Battery,10,High,1,Agg Battery Grt/Bod/Harm,(F2)
Male,African-American,F,Uttering a Forged Instrument,8,High,1,DOC/Fighting/Threatening Words,(MO3)
Male,Caucasian,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,,
Male,African-American,M,Driving License Suspended,3,Low,1,DWLS Canceled Disqul 1st Off,(M2)
Male,African-American,F,Tampering With Physical Evidence,4,Low,0,,
Male,Caucasian,F,Possession of Oxycodone,2,Low,1,Driving Under The Influence,(M1)
Female,Other,F,Grand Theft in the 3rd Degree,2,Low,0,,
Male,Caucasian,F,arrest case no charge,6,Medium,1,Trespass Struct/Conveyance,(M2)
Female,Hispanic,F,arrest case no charge,1,Low,0,,
Male,African-American,F,Attempt Armed Burglary Dwell,5,Medium,0,Operating W/O Valid License,(M2)
Male,African-American,F,Poss Tetrahydrocannabinols,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Hispanic,M,Possess Cannabis/20 Grams Or Less,7,Medium,0,,
Male,African-American,M,Battery,1,Low,0,,
Male,Caucasian,F,arrest case no charge,5,Medium,0,,
Male,African-American,F,Driving While License Revoked,3,Low,0,,
Male,African-American,M,Possess Drug Paraphernalia,7,Medium,1,Petit Theft,(M2)
Male,African-American,F,Driving While License Revoked,10,High,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,M,Battery,2,Low,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,F,Poss Firearm W/Altered ID#,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Sell Conterfeit Cont Substance,10,High,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,F,arrest case no charge,9,High,1,Aggrav Stalking After Injunctn,(F3)
Male,Hispanic,M,Unlaw LicTag/Sticker Attach,1,Low,0,,
Male,African-American,F,Aggravated Battery / Pregnant,6,Medium,1,Possession of Cocaine,(F3)
Male,Other,M,Battery,1,Low,0,,
Female,African-American,M,Battery,1,Low,0,,
Male,Hispanic,F,Possession of Cocaine,1,Low,1,Operating W/O Valid License,(M2)
Male,Hispanic,F,Burglary Structure Unoccup,4,Low,0,,
Male,African-American,M,arrest case no charge,4,Low,0,,
Male,African-American,F,False Name By Person Arrest,6,Medium,1,Operating W/O Valid License,(M2)
Male,Caucasian,F,arrest case no charge,6,Medium,1,Pos Cannabis W/Intent Sel/Del,(F3)
Male,African-American,F,arrest case no charge,2,Low,0,,
Male,African-American,M,Battery,3,Low,1,Driving License Suspended,(M2)
Male,Caucasian,F,Grand Theft in the 3rd Degree,8,High,0,,
Female,African-American,F,Poss Cocaine/Intent To Del/Sel,4,Low,1,Resist/Obstruct W/O Violence,(M1)
Male,Caucasian,F,Burglary Dwelling Assault/Batt,7,Medium,1,Felony Battery w/Prior Convict,(M1)
Male,African-American,F,Felony Battery (Dom Strang),2,Low,0,,
Male,African-American,M,arrest case no charge,2,Low,0,,
Male,African-American,M,Possess Cannabis/20 Grams Or Less,10,High,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Other,F,arrest case no charge,1,Low,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,F,arrest case no charge,10,High,1,Resist/Obstruct W/O Violence,(M1)
Male,Other,F,Tampering With Physical Evidence,5,Medium,1,Robbery / No Weapon,(F2)
Male,African-American,F,Attempted Burg/struct/unocc,9,High,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,M,arrest case no charge,7,Medium,1,Leave Acc/Attend Veh/More $50,(M2)
Female,African-American,M,arrest case no charge,2,Low,0,,
Male,African-American,F,Deliver Cocaine,7,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,F,Possession Burglary Tools,8,High,1,Resist/Obstruct W/O Violence,(M1)
Male,Other,F,Grand Theft in the 3rd Degree,6,Medium,1,Possess Drug Paraphernalia,(M1)
Male,Caucasian,F,Pos Cannabis W/Intent Sel/Del,8,High,1,Driving License Suspended,(M2)
Male,African-American,M,Possess Cannabis/20 Grams Or Less,7,Medium,0,,
Female,Caucasian,F,"Poss3,4 Methylenedioxymethcath",7,Medium,0,,
Male,Caucasian,F,Possession Of Alprazolam,1,Low,1,Possession of Hydromorphone,(F3)
Male,Caucasian,F,Flee/Elude LEO-Agg Flee Unsafe,1,Low,0,,
Female,Caucasian,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,,
Female,Hispanic,M,Battery,1,Low,0,,
Male,African-American,M,Battery,4,Low,1,Viol Injunction Protect Dom Violence,(M1)
Male,African-American,F,arrest case no charge,2,Low,0,,
Male,African-American,F,Fail To Redeliv Hire/Leas Prop,2,Low,0,,
Female,Caucasian,F,Aggravated Assault W/Dead Weap,1,Low,1,Battery,(M1)
Male,Caucasian,F,False Ownership Info/Pawn Item,6,Medium,1,Poss Wep Conv Felon,(F2)
Male,Caucasian,F,Possession Of Methamphetamine,4,Low,0,,
Male,Caucasian,M,Battery,5,Medium,0,,
Female,Caucasian,F,Possession of Morphine,4,Low,0,,
Male,African-American,F,arrest case no charge,9,High,1,Aggravated Assault W/Dead Weap,(F3)
Male,Caucasian,F,Possession of Cocaine,1,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,9,High,1,Resist/Obstruct W/O Violence,(M1)
Male,Caucasian,M,Possess Cannabis/20 Grams Or Less,4,Low,1,Possession of Cannabis,(F3)
Male,Caucasian,F,Aggravated Assault w/Firearm,5,Medium,0,,
Male,African-American,F,Poss Contr Subst W/o Prescript,5,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,"Poss3,4 Methylenedioxymethcath",2,Low,0,,
Male,Caucasian,F,Aggrav Stalking After Injunctn,2,Low,1,Aggrav Stalking After Injunctn,(F3)
Male,African-American,F,Possession of Cocaine,9,High,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,F,Uttering a Forged Instrument,4,Low,1,Uttering a Forged Instrument,(F3)
Male,African-American,F,Driving While License Revoked,8,High,1,Operating W/O Valid License,(M2)
Male,African-American,M,Battery,7,Medium,0,,
Female,Other,F,Crim Use of Personal ID Info,2,Low,0,,
Male,Caucasian,F,arrest case no charge,10,High,1,Burglary Unoccupied Dwelling,(F2)
Male,African-American,F,Possession of Cocaine,9,High,1,Felony Driving While Lic Suspd,(F3)
Male,African-American,F,arrest case no charge,9,High,0,,
Male,Caucasian,M,Battery,9,High,0,,
Male,African-American,F,arrest case no charge,10,High,1,Petit Theft,(M2)
Female,Caucasian,M,Resist/Obstruct W/O Violence,1,Low,0,,
Male,Caucasian,F,Possession Of Alprazolam,6,Medium,1,Petit Theft,(M2)
Male,Caucasian,F,Possession Of Alprazolam,3,Low,0,,
Female,Caucasian,F,arrest case no charge,4,Low,0,,
Male,Caucasian,M,Agg Fleeing and Eluding,2,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Female,Other,M,Petit Theft,2,Low,0,,
Male,Caucasian,M,Disorderly Intoxication,2,Low,1,Viol Injunct Domestic Violence,(M1)
Female,African-American,M,Battery,2,Low,0,,
Female,Caucasian,F,Grand Theft in the 3rd Degree,4,Low,1,Uttering a Forged Instrument,(F3)
Male,Caucasian,M,Battery,2,Low,1,Viol Injunct Domestic Violence,(M1)
Female,Hispanic,F,Battery on Law Enforc Officer,5,Medium,1,Battery,(M1)
Male,African-American,F,Possession of Cocaine,7,Medium,1,Possession of Cocaine,(F3)
Male,Caucasian,M,Resist/Obstruct W/O Violence,3,Low,1,Theft/To Deprive,(M1)
Male,African-American,M,Lewdness Violation,2,Low,0,Driving License Suspended,(M2)
Male,Caucasian,F,Possession of Cocaine,2,Low,1,Expired DL More Than 6 Months,(M2)
Female,Caucasian,F,arrest case no charge,4,Low,0,,
Female,African-American,F,arrest case no charge,10,High,0,,
Female,Caucasian,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,,
Male,African-American,F,Possession of Cocaine,8,High,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,F,Poss Pyrrolidinovalerophenone,6,Medium,1,Poss Pyrrolidinovalerophenone,(F3)
Male,African-American,M,Assault,5,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
Female,African-American,F,Possession of Oxycodone,3,Low,1,Unlaw LicTag/Sticker Attach,(M2)
Female,African-American,F,Possession of Cocaine,9,High,1,Prostitution/Lewd Act Assignation,(M2)
Male,African-American,F,Tampering With Physical Evidence,9,High,1,Possess Cannabis/20 Grams Or Less,(M1)
Female,African-American,F,Grand Theft in the 3rd Degree,6,Medium,0,,
Female,Caucasian,M,Fail To Obey Police Officer,6,Medium,0,,
Female,African-American,F,Solicit Purchase Cocaine,1,Low,1,Petit Theft,(M2)
Male,Other,F,Felony Petit Theft,7,Medium,1,Petit Theft,(M2)
Male,Hispanic,F,arrest case no charge,1,Low,0,,
Female,African-American,F,arrest case no charge,10,High,1,Aggravated Assault W/Dead Weap,(F3)
Male,Hispanic,F,Grand Theft in the 3rd Degree,4,Low,0,,
Female,Other,F,Grand Theft in the 1st Degree,2,Low,0,,
Female,African-American,M,Driving Under The Influence,4,Low,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,M,Battery,1,Low,0,,
Male,Caucasian,M,,4,Low,0,,
Female,Caucasian,F,Possession Of Carisoprodol,7,Medium,1,Fraudulent Use of Credit Card,(F3)
Male,African-American,F,Burglary Conveyance Assault/Bat,7,Medium,0,,
Male,Caucasian,M,Battery,2,Low,0,,
Male,African-American,F,arrest case no charge,2,Low,0,,
Male,Caucasian,F,Driving While License Revoked,1,Low,1,Susp Drivers Lic 1st Offense,(M2)
Female,Caucasian,F,Crim Use of Personal ID Info,6,Medium,0,,
Male,Caucasian,F,"Deliver 3,4 Methylenediox",5,Medium,0,,
Male,African-American,M,Battery,2,Low,1,Prowling/Loitering,(M2)
Male,Hispanic,F,"Poss3,4 Methylenedioxymethcath",3,Low,0,,
Female,African-American,F,Aggravated Assault W/dead Weap,7,Medium,0,,
Male,Hispanic,M,Leave Acc/Attend Veh/More $50,1,Low,0,,
Male,African-American,F,Possession of Cocaine,4,Low,0,,
Female,Caucasian,F,Possession of Cocaine,10,High,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,1,Low,0,,
Male,Hispanic,F,arrest case no charge,9,High,1,Unlaw Use False Name/Identity,(M1)
Male,African-American,M,Resist/Obstruct W/O Violence,6,Medium,1,Fail Register Vehicle,(M2)
Male,Hispanic,F,Burglary Unoccupied Dwelling,1,Low,0,,
Male,Hispanic,F,Possession Of Heroin,2,Low,0,,
Male,Caucasian,M,Driving Under The Influence,1,Low,1,Leaving the Scene of Accident,(F3)
Male,Caucasian,F,Possession of Cocaine,1,Low,0,,
Male,Other,F,Burglary Unoccupied Dwelling,2,Low,0,,
Male,African-American,F,Child Abuse,8,High,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,5,Medium,1,Operating W/O Valid License,(M2)
Male,African-American,M,Possess Cannabis/20 Grams Or Less,8,High,1,Grand Theft in the 3rd Degree,(F3)
Male,African-American,M,Battery,2,Low,1,Extradition/Defendants,(M1)
Male,Hispanic,F,Driving While License Revoked,1,Low,0,,
Female,Caucasian,F,Possession of Cocaine,5,Medium,1,Unlaw Use False Name/Identity,(M1)
Male,African-American,F,Agg Battery Grt/Bod/Harm,1,Low,0,Battery,(M1)
Male,Caucasian,M,Viol Injunct Domestic Violence,4,Low,1,Viol Injunct Domestic Violence,(M1)
Female,Other,M,,3,Low,1,Driving License Suspended,(M2)
Male,African-American,F,Poss Cocaine/Intent To Del/Sel,10,High,1,Possession of Cocaine,(F3)
Male,African-American,M,Battery,9,High,1,Battery,(M1)
Male,Caucasian,F,Possession Of Methamphetamine,4,Low,1,Possess Drug Paraphernalia,(M1)
Male,African-American,F,Deliver Cocaine,9,High,1,Poss Pyrrolidinovalerophenone,(F3)
Male,Caucasian,F,Lewd or Lascivious Molestation,3,Low,0,,
Male,African-American,F,Possession of Cannabis,3,Low,1,Robbery W/Firearm,(F2)
Male,African-American,M,Battery,2,Low,0,,(F3)
Female,African-American,M,Battery,4,Low,0,,
Male,Other,M,Battery,3,Low,1,Poss of Firearm by Convic Felo,(F2)
Male,Caucasian,F,Sexual Performance by a Child,1,Low,0,,
Female,Caucasian,M,Leaving Acc/Unattended Veh,3,Low,0,,
Male,Caucasian,M,Battery,4,Low,0,,
Female,African-American,F,Felony Petit Theft,9,High,1,Felony Petit Theft,(F3)
Male,Other,F,arrest case no charge,5,Medium,1,False Ownership Info/Pawn Item,(F3)
Male,African-American,F,Fleeing Or Attmp Eluding A Leo,10,High,1,"Poss3,4 Methylenedioxymethcath",(F3)
Male,African-American,M,Criminal Mischief,2,Low,0,,
Female,African-American,F,Aggrav Battery w/Deadly Weapon,8,High,0,,
Male,Caucasian,F,arrest case no charge,5,Medium,1,Battery,(M1)
Female,Caucasian,F,Felony Petit Theft,9,High,1,Grand Theft in the 3rd Degree,(F3)
Male,African-American,F,Driving While License Revoked,1,Low,0,,
Male,Caucasian,M,Trespass Struct/Conveyance,4,Low,0,,
Female,African-American,F,arrest case no charge,9,High,0,,
Male,Caucasian,F,Felony Driving While Lic Suspd,1,Low,1,Driving License Suspended,(M2)
Male,African-American,F,Possession of Cocaine,9,High,0,,
Male,African-American,M,Possess Cannabis/20 Grams Or Less,5,Medium,0,,
Male,African-American,F,arrest case no charge,6,Medium,0,,
Male,Hispanic,M,DUI Property Damage/Injury,2,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Female,Caucasian,M,Driving Under The Influence,1,Low,1,Battery,(M1)
Male,Caucasian,M,Battery,2,Low,0,,
Male,Other,M,Possess Cannabis/20 Grams Or Less,1,Low,1,Driving License Suspended,(M2)
Male,African-American,F,Aggravated Battery (Firearm/Actual Possession),1,Low,0,,
Male,Caucasian,F,arrest case no charge,3,Low,1,Petit Theft,(M2)
Female,African-American,F,Grand Theft in the 3rd Degree,7,Medium,0,,
Female,African-American,M,Battery,6,Medium,0,,
Male,African-American,F,Robbery / No Weapon,10,High,1,Crim Use of Personal ID Info,(F3)
Male,African-American,M,Battery,1,Low,0,Battery,(M1)
Male,Other,F,Aggravated Assault w/Firearm,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Grand Theft (Motor Vehicle),9,High,0,,
Male,African-American,F,Robbery / Weapon,9,High,0,,
Female,African-American,F,arrest case no charge,4,Low,1,Operating W/O Valid License,(M2)
Male,African-American,M,Battery,1,Low,0,,
Male,Caucasian,F,Burglary With Assault/battery,1,Low,0,,
Male,Caucasian,F,Driving While License Revoked,4,Low,1,Possession Of Heroin,(F3)
Male,African-American,F,Uttering a Forged Instrument,4,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Male,African-American,M,Battery,9,High,1,Trespass After Warning,(M1)
Male,Caucasian,F,Criminal Mischief,5,Medium,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,4,Low,0,,
Male,African-American,F,Driving While License Revoked,2,Low,0,,
Male,Hispanic,F,Possession of Cannabis,4,Low,0,,
Male,Caucasian,F,Burglary Unoccupied Dwelling,8,High,1,Wear Mask w/Commit Offense,(F2)
Male,Caucasian,F,Grand Theft in the 3rd Degree,2,Low,1,Petit Theft $100- $300,(M1)
Male,African-American,F,Aggravated Battery / Pregnant,9,High,0,,
Male,African-American,M,Possess Cannabis/20 Grams Or Less,8,High,0,,
Male,Caucasian,M,Battery,1,Low,0,,
Male,African-American,F,arrest case no charge,8,High,1,Burglary Structure Unoccup,(F3)
Male,Caucasian,M,Battery,5,Medium,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,F,Grand Theft in the 3rd Degree,3,Low,0,,
Male,Caucasian,M,Voyeurism,8,High,1,Grand Theft in the 3rd Degree,(F3)
Female,Other,M,Battery,1,Low,0,,
Female,Other,F,Driving While License Revoked,2,Low,0,,
Male,Caucasian,F,Felony Driving While Lic Suspd,7,Medium,1,Battery,(M1)
Male,Caucasian,F,False Imprisonment,2,Low,0,,
Male,African-American,M,Prowling/Loitering,9,High,1,Unlaw LicTag/Sticker Attach,(M2)
Female,Caucasian,M,Battery,7,Medium,1,Battery,(M1)
Male,African-American,M,Viol Prot Injunc Repeat Viol,2,Low,1,Poss Pyrrolidinovalerophenone,(F3)
Female,Hispanic,M,Battery,2,Low,0,,
Male,Hispanic,F,arrest case no charge,6,Medium,1,Grand Theft in the 3rd Degree,(F3)
Female,Caucasian,F,arrest case no charge,5,Medium,1,Possess Drug Paraphernalia,(M1)
Male,Hispanic,M,Possess Cannabis/20 Grams Or Less,8,High,0,,
Male,African-American,M,Battery,3,Low,0,,
Male,African-American,F,Carrying Concealed Firearm,8,High,1,Possession Of Methamphetamine,(F3)
Male,African-American,F,Carrying Concealed Firearm,6,Medium,1,Poss Cocaine/Intent To Del/Sel,(F2)
Male,Other,F,Throw In Occupied Dwell,1,Low,0,,
Male,African-American,F,arrest case no charge,4,Low,0,,
Male,Caucasian,M,arrest case no charge,4,Low,0,Possession of Cocaine,(F3)
Female,African-American,F,arrest case no charge,1,Low,0,,
Male,African-American,F,Possession Burglary Tools,8,High,0,,
Male,Hispanic,F,"Poss3,4 Methylenedioxymethcath",7,Medium,0,,
Female,African-American,F,Burglary Conveyance Unoccup,1,Low,0,,
Female,African-American,F,Carrying Concealed Firearm,4,Low,1,Operating W/O Valid License,(M2)
Female,African-American,F,Aggravated Assault W/Dead Weap,2,Low,0,,
Male,African-American,F,Deliver Cocaine,6,Medium,1,Leave Acc/Attend Veh/More $50,(M2)
Male,Caucasian,F,"Deliver 3,4 Methylenediox",5,Medium,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,6,Medium,1,Aggravated Assault W/Dead Weap,(F3)
Male,African-American,F,Unauth Poss ID Card or DL,7,Medium,1,Possess Drug Paraphernalia,(M1)
Male,African-American,M,Battery,10,High,1,Resist/Obstruct W/O Violence,(M1)
Female,Caucasian,F,Pos Cannabis W/Intent Sel/Del,3,Low,0,,
Male,African-American,F,arrest case no charge,10,High,0,,
Male,Caucasian,F,arrest case no charge,4,Low,0,,
Female,African-American,M,Battery on Law Enforc Officer,3,Low,0,,
Female,Other,F,Aggravated Assault W/Dead Weap,2,Low,0,,
Male,African-American,M,Opert With Susp DL 2nd Offens,7,Medium,0,,
Male,African-American,F,Possession of Cocaine,6,Medium,1,Possession of Cocaine,(F3)
Male,African-American,F,Felony Battery (Dom Strang),1,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Male,African-American,M,Possess Cannabis/20 Grams Or Less,4,Low,1,Aggravated Battery / Pregnant,(F2)
Male,Caucasian,M,Battery,1,Low,0,,
Male,Caucasian,F,Possession of Cocaine,2,Low,1,Possession Of Alprazolam,(F3)
Male,Caucasian,F,arrest case no charge,4,Low,0,,
Male,African-American,M,Petit Theft,9,High,1,Petit Theft,(M2)
Male,African-American,M,Battery,8,High,1,Tamper With Witness/Victim/CI,(F3)
Male,Hispanic,F,Crim Use of Personal ID Info,1,Low,1,Grand Theft in the 3rd Degree,(F3)
Male,Caucasian,M,Battery,4,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,5,Medium,1,,(M1)
Male,African-American,M,Driving License Suspended,4,Low,0,,
Male,Caucasian,F,Aggravated Assault W/Dead Weap,5,Medium,1,Leave Acc/Attend Veh/More $50,(M2)
Male,African-American,F,Possession of Oxycodone,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,arrest case no charge,1,Low,0,,
Male,African-American,F,Aggravated Battery / Pregnant,3,Low,1,Driving License Suspended,(M2)
Male,Other,F,Failure To Return Hired Vehicle,3,Low,0,,
Male,Caucasian,M,Driving Under The Influence,3,Low,1,Tamper With Witness/Victim/CI,(F3)
Male,Caucasian,F,Agg Fleeing/Eluding High Speed,3,Low,0,,
Female,African-American,M,Battery,6,Medium,0,,
Male,African-American,F,Attempted Robbery  No Weapon,5,Medium,0,,(F2)
Male,African-American,M,Possess Cannabis/20 Grams Or Less,8,High,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,F,False Imprisonment,1,Low,0,,
Male,African-American,M,Possess Cannabis/20 Grams Or Less,8,High,1,Grand Theft in the 3rd Degree,(F3)
Male,Caucasian,F,Battery on Law Enforc Officer,3,Low,0,,
Male,Other,F,Grand Theft in the 3rd Degree,2,Low,1,Grand Theft in the 3rd Degree,(F3)
Female,African-American,F,Aggrav Battery w/Deadly Weapon,1,Low,0,,
Male,Hispanic,F,Burglary Conveyance Unoccup,3,Low,0,,
Male,African-American,M,Battery,1,Low,0,,
Male,Caucasian,M,Battery,1,Low,1,Neglect Child / No Bodily Harm,(F3)
Male,Caucasian,M,Battery,3,Low,1,Driving License Suspended,(M2)
Female,Caucasian,F,Possession of Cocaine,2,Low,0,,
Male,Other,F,Resist Officer w/Violence,10,High,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,F,Aggrav Battery w/Deadly Weapon,2,Low,0,,
Male,African-American,F,Grand Theft (Motor Vehicle),10,High,1,Operating W/O Valid License,(M2)
Female,Caucasian,M,Battery on Law Enforc Officer,1,Low,0,,
Male,Caucasian,M,Battery On Parking Enfor Speci,1,Low,0,,
Male,African-American,F,arrest case no charge,9,High,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,9,High,1,Enter City Park/ Prohibited Hrs,(MO3)
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Male,Caucasian,F,arrest case no charge,5,Medium,0,,
Male,African-American,F,Burglary Structure Unoccup,9,High,1,Resist/Obstruct W/O Violence,(M1)
Male,Caucasian,F,Corrupt Public Servant,6,Medium,1,Trespass Other Struct/Conve,(M1)
Male,Caucasian,M,Battery,3,Low,1,Driving License Suspended,(M2)
Male,African-American,F,Crim Use of Personal ID Info,1,Low,0,,
Male,Hispanic,F,Grand Theft in the 3rd Degree,5,Medium,0,Possess Cannabis/20 Grams Or Less,(M1)
Female,African-American,F,Aggrav Battery w/Deadly Weapon,7,Medium,0,,
Female,Caucasian,M,Petit Theft,4,Low,1,Possession of Cocaine,(F3)
Female,Hispanic,M,Operating W/O Valid License,3,Low,0,Operating W/O Valid License,(M2)
Male,Caucasian,F,Pos Cannabis W/Intent Sel/Del,5,Medium,0,,
Female,African-American,F,Robbery Sudd Snatch No Weapon,8,High,1,Mandatory Susp Possess Alcohol,(M2)
Male,Caucasian,M,Viol Injunct Domestic Violence,3,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,3,Low,0,,
Male,African-American,F,arrest case no charge,6,Medium,1,Operating W/O Valid License,(M2)
Male,Other,F,arrest case no charge,2,Low,1,Operating W/O Valid License,(M2)
Male,African-American,F,Aggravated Assault W/Dead Weap,1,Low,0,,
Female,Caucasian,M,Battery,6,Medium,0,,
Male,Hispanic,M,Assault,1,Low,0,,
Male,Other,F,Felony Battery (Dom Strang),1,Low,0,,
Female,African-American,F,arrest case no charge,6,Medium,0,,
Male,African-American,F,arrest case no charge,9,High,1,Driving License Suspended,(M2)
Male,African-American,F,Grand Theft in the 3rd Degree,6,Medium,0,,
Male,African-American,F,Possession Burglary Tools,3,Low,0,,
Female,Hispanic,F,Possession of Cocaine,3,Low,1,Driving License Suspended,(M2)
Male,Caucasian,F,Forging Bank Bills/Promis Note,1,Low,0,,
Male,African-American,F,Poss Pyrrolidinovalerophenone,10,High,1,Unlaw Use False Name/Identity,(M1)
Male,Hispanic,M,Battery,8,High,0,,
Male,Other,M,Battery,1,Low,0,,
Female,Caucasian,F,Possession of Cocaine,6,Medium,0,,
Male,Caucasian,M,Aggravated Assault W/dead Weap,1,Low,0,,
Male,Caucasian,F,arrest case no charge,6,Medium,0,,
Male,African-American,M,Battery,10,High,1,Viol Pretrial Release Dom Viol,(M1)
Male,Caucasian,F,Possession of Cocaine,4,Low,0,,
Female,African-American,F,Driving While License Revoked,5,Medium,1,Extradition/Defendants,(M1)
Male,African-American,F,Grand Theft (Motor Vehicle),5,Medium,0,,
Male,African-American,M,Battery,4,Low,0,Possession of Cannabis,(F3)
